window_index,epoch_start_in_seconds,epoch_length_in_seconds,machine_bin_power_ratios_1,machine_bin_power_ratios_2,machine_bin_power_ratios_3,machine_bin_power_ratios_4,machine_bin_powers_1,machine_bin_powers_2,machine_bin_powers_3,machine_bin_powers_4,machine_burg_reflection_coefficients_1,machine_burg_reflection_coefficients_10,machine_burg_reflection_coefficients_2,machine_burg_reflection_coefficients_3,machine_burg_reflection_coefficients_4,machine_burg_reflection_coefficients_5,machine_burg_reflection_coefficients_6,machine_burg_reflection_coefficients_7,machine_burg_reflection_coefficients_8,machine_burg_reflection_coefficients_9,machine_detrended_fluctuation_analysis,machine_hjorth_complexity,machine_hjorth_fractal_dimension,machine_hjorth_mobility,machine_permutation_entropy,machine_petrosian_fractal_dimension,machine_spectral_entropy,machine_svd_entropy,sleep_stage
0,0,30,0.494134910824,0.134094805961,0.146704522479,0.225065760737,3.67709646812,0.997864199819,1.09169918912,1.6748230003,0.996397211027,0.00298209749545,0.624463346934,0.421802426301,0.129114320794,0.0558068492391,0.0523180026823,0.00727100130344,0.00298111235947,0.0149050411244,1.12291659046,887.651734869,0.0935697998576,0.000974143486236,6.30423838818,0.575448383511,0.648735418039,2.31736811789,9
1,30,30,0.349159539365,0.0936143637901,0.189981115683,0.367244981162,1.83654229188,0.492401664125,0.999280598909,1.9316698052,0.986294001176,0.0385441750509,0.664710402554,0.650837910214,0.212766279129,0.129415568002,0.029486616885,0.0204948320141,0.0314398364694,0.0408109496123,1.23897981469,440.755163077,0.121674768802,0.00188922185974,6.71703269672,0.573742092947,0.652569645806,2.39254607215,9
2,60,30,0.137224729888,0.0776961301263,0.23402960714,0.551049532846,0.699489529989,0.396048362335,1.19294284664,2.80892065917,0.889922056553,0.236355925738,0.744017969283,0.671464303846,0.522250860795,0.432545957958,0.362121190216,0.309927298793,0.28713471854,0.224170288707,0.812311040517,156.69681595,0.133558603625,0.00535552974191,6.67934431578,0.571993640293,0.584969260021,2.68802446201,9
3,90,30,0.156473790108,0.0767718538079,0.234328176939,0.532426179145,0.915612450563,0.449233479619,1.37118041414,3.11551243371,0.891301875637,0.200341317696,0.71839798646,0.64938316306,0.488486299555,0.413549863605,0.345781453307,0.307013393419,0.230736940739,0.217996414262,0.876832060501,162.73284359,0.13681111267,0.00532135177734,6.73294376507,0.571723138983,0.596787298013,2.68626464782,9
4,120,30,0.108026398857,0.0917945885999,0.265536750049,0.534642262494,0.531690409982,0.451799772679,1.30693372169,2.63143237901,0.91871256443,0.255423183722,0.758549247293,0.636820856455,0.575543987119,0.401896143835,0.415903349178,0.266703225289,0.305669450075,0.204640046138,0.403141375839,171.922947791,0.113198566526,0.00460710994061,6.26215970793,0.57496872545,0.585536560956,2.63625688757,9
5,150,30,0.102583603635,0.0697113408782,0.280426078633,0.547278976854,0.556377070361,0.378089579957,1.52093155782,2.96824700072,0.899880660975,0.26206114127,0.758649076159,0.671762634471,0.550370391709,0.414933950298,0.420179019469,0.277004570672,0.313052677998,0.207541491476,0.644671029745,158.973721091,0.121524016423,0.00510599630105,6.36168830588,0.57391453087,0.559625588524,2.65776508374,9
6,180,30,0.0988557524391,0.0708120363471,0.271017922948,0.559314288266,0.538067784356,0.385426994008,1.47513937958,3.04432460854,0.875510508021,0.277592955567,0.761526454749,0.662221507997,0.54589716063,0.425695566881,0.425754425915,0.281756082999,0.310831066518,0.219963580588,0.510171620595,146.54739751,0.129495710898,0.00569378358735,6.63760851033,0.573211379347,0.555499125616,2.6784551034,9
7,210,30,0.103158976201,0.08443603759,0.259595755361,0.552809230848,0.505682601386,0.413903246345,1.27253159845,2.7098563811,0.887394229324,0.251022349007,0.746696001608,0.653436619532,0.563495841581,0.421907789766,0.403791697532,0.279484757437,0.303050017108,0.208535296939,0.421184477325,154.857432308,0.128726917375,0.00541598096516,6.65162720947,0.572800375209,0.572121061084,2.68032455281,9
8,240,30,0.10055978726,0.0875550274151,0.256989173168,0.554896012156,0.486787034859,0.423833953349,1.24402607649,2.68612525714,0.876767313043,0.249353779191,0.744218428911,0.660521868681,0.520171240617,0.401140887373,0.394256245178,0.291495040053,0.287458474045,0.202478287823,0.525118793662,150.468659458,0.135686052668,0.00566489836893,6.75025002205,0.571777058919,0.572318555468,2.69059752334,9
9,270,30,0.0848437271326,0.0730504775009,0.238645226313,0.603460569054,0.454218757025,0.391082502053,1.27760933812,3.23068208874,0.852200482973,0.239849651259,0.769216706896,0.673878519327,0.542822009825,0.415006414555,0.416047964377,0.307885824822,0.316164620334,0.240458776209,0.556278758877,137.046462841,0.139052503973,0.00620498154145,6.82616713712,0.571206490567,0.535509937221,2.69921279347,9
