window_index,epoch_start_in_seconds,epoch_length_in_seconds,machine_bin_power_ratios_1,machine_bin_power_ratios_2,machine_bin_power_ratios_3,machine_bin_power_ratios_4,machine_bin_powers_1,machine_bin_powers_2,machine_bin_powers_3,machine_bin_powers_4,machine_burg_reflection_coefficients_1,machine_burg_reflection_coefficients_10,machine_burg_reflection_coefficients_2,machine_burg_reflection_coefficients_3,machine_burg_reflection_coefficients_4,machine_burg_reflection_coefficients_5,machine_burg_reflection_coefficients_6,machine_burg_reflection_coefficients_7,machine_burg_reflection_coefficients_8,machine_burg_reflection_coefficients_9,machine_detrended_fluctuation_analysis,machine_hjorth_complexity,machine_hjorth_fractal_dimension,machine_hjorth_mobility,machine_permutation_entropy,machine_petrosian_fractal_dimension,machine_spectral_entropy,machine_svd_entropy,sleep_stage
0,0,30,0.29162659867,0.128218207936,0.18806094376,0.392094249633,0.364027391945,0.160050352223,0.23474996861,0.489437684153,0.971327277262,0.0233611291512,0.736992580008,0.551139351787,0.19637936385,0.258983714944,0.0216421676336,0.0159487551535,0.108465006859,0.0239932233596,0.949750665081,279.347862762,0.105912543141,0.00273232005092,6.74933375002,0.579219835389,0.675885837744,2.66362856791,9
1,30,30,0.532943078911,0.138965558366,0.138030608811,0.190060753911,0.335534383809,0.0874910001502,0.0869023674514,0.119659904544,0.999517599458,0.108406231814,0.80814856645,0.551289338956,0.516125710254,0.37652664807,0.301412366551,0.234447859027,0.208904846159,0.125721551712,1.55368589849,1236.54870549,0.154562330597,0.000752224607563,6.67144161949,0.569502540467,0.636945933492,1.70705317296,9
2,60,30,0.354701775284,0.170731126224,0.182506936948,0.292060161544,0.0737272206401,0.0354876470612,0.037935330879,0.0607067273715,0.987411049805,0.151481730899,0.639801303473,0.63419400368,0.410675901604,0.390252835994,0.28067157756,0.20345221051,0.232611051148,0.0982819202517,1.20393288842,479.111680027,0.168366656016,0.00179287072427,6.76140370809,0.57210247597,0.706829926309,2.47698895184,9
3,90,30,0.314859671479,0.123945272561,0.153159821417,0.408035234543,0.348839051535,0.13732133785,0.169688695237,0.45207003978,0.991111749683,0.137776287868,0.699548815063,0.636494547862,0.350067135294,0.536662361071,0.283192764607,0.362787027253,0.225053493929,0.176153110213,1.61762159676,512.204692186,0.116064982781,0.00154626633801,6.81574345266,0.575187697545,0.656438956587,2.35179766118,9
4,120,30,0.218289363654,0.112456312596,0.211784992149,0.457469331601,0.308021731796,0.158683811145,0.298843603545,0.645521583846,0.93892225253,0.164264748379,0.723952879379,0.605337555972,0.428720862273,0.450120148553,0.313973730707,0.315556409931,0.239828126931,0.209455961681,0.965887683055,203.328704604,0.118403558871,0.0039901627974,6.8705036203,0.575087983271,0.654038312002,2.68179256778,9
5,150,30,0.150018466235,0.108316021428,0.24049599093,0.501169521408,0.188857190684,0.136358276594,0.302758709363,0.630918781168,0.928381323293,0.182426482906,0.791630584908,0.566413974659,0.422734268026,0.455841195687,0.370207117788,0.356089758984,0.273036380558,0.160015476889,0.953392388314,170.955324425,0.104173318592,0.00431898726064,6.86785735634,0.576119579511,0.626171544482,2.69630667187,9
6,180,30,0.185023737069,0.114056767369,0.219235704458,0.481683791104,0.201565548394,0.124253867244,0.23883619311,0.524748116346,0.931206734038,0.149337990524,0.800106476773,0.577475429428,0.384300689962,0.505335046288,0.399964057948,0.375965543704,0.295029940094,0.121021501883,0.847187686603,171.134336231,0.0988278417875,0.00423490645715,6.87534899105,0.576201876555,0.64381926132,2.70187651075,9
7,210,30,0.178560219269,0.112218045104,0.19836440467,0.510857330957,0.227153475812,0.142756987523,0.252347158749,0.649881697313,0.921218924055,0.122446926525,0.784868426443,0.639851364331,0.441097293057,0.476632361904,0.36992956883,0.373867697071,0.288856718741,0.185410917179,0.895456561504,166.818199803,0.10698070665,0.00452947198596,6.88141662851,0.575028300077,0.630435147425,2.70084830807,9
8,240,30,0.213813051488,0.108793610252,0.192656208346,0.484737129914,0.337264077468,0.171608684974,0.303891731231,0.764613852137,0.933213306091,0.136618780114,0.792858501887,0.661129771152,0.436862917168,0.496057054986,0.384123832097,0.383410700846,0.303432694301,0.180299529909,0.86004536072,175.224791597,0.0982646726843,0.00417074071207,6.88642757091,0.577227080926,0.640882676591,2.69662769673,9
9,270,30,0.22171424989,0.0787134125279,0.148994006716,0.550578330865,0.43717838675,0.155207898101,0.293787880228,1.08563588757,0.899032885151,0.175825745831,0.7004987329,0.701685717904,0.407060794516,0.502267966048,0.303803511414,0.399425355518,0.164978167043,0.261963072071,1.17665568556,171.210330575,0.130937272236,0.00512768719079,6.7799948156,0.572874718001,0.589867370688,2.64332762033,9
10,300,30,0.148492094345,0.104708877728,0.202118942808,0.544680085119,0.244310616138,0.172275100205,0.332541632391,0.896149574702,0.877926572829,0.203380533474,0.734366908175,0.613054956843,0.47149744511,0.461406218586,0.332982185212,0.326955844365,0.236065819708,0.209167785042,0.926297262944,152.876291992,0.133603725008,0.00563861199815,6.88645911973,0.571741102326,0.607849574682,2.7002859172,9
11,330,30,0.151219720379,0.0922501567446,0.195888970294,0.560641152582,0.222772538408,0.135900275011,0.288577991344,0.825920404983,0.866250444237,0.20811678363,0.731200158514,0.570613984424,0.41596774618,0.408359357116,0.281533372529,0.328184920943,0.229936811748,0.226245758572,0.821273101463,148.611793866,0.146729707496,0.00590135785627,6.88875051139,0.571030231906,0.595005099661,2.70463582101,9
12,360,30,0.138728922714,0.0986445401879,0.234749729933,0.527876807165,0.190445701156,0.135418254922,0.322262121253,0.724664090928,0.89595047197,0.222033778618,0.756009320876,0.554492407823,0.461545697946,0.430541675427,0.334721896854,0.324293159512,0.250208325994,0.178331835383,0.782464725851,157.383407411,0.128633780151,0.00520958916157,6.8646598985,0.571454877638,0.607889138915,2.69813879714,9
13,390,30,0.158475074597,0.113256971463,0.258486353898,0.469781600042,0.189802234562,0.135645471808,0.309583621893,0.56264745526,0.92819077552,0.17873364488,0.778727675,0.550193425955,0.437510830909,0.472766203176,0.375869078809,0.298578194122,0.303206285812,0.136497111484,0.725897421638,174.650936608,0.107795950301,0.00432416233438,6.85514792087,0.575589616039,0.640794685051,2.69770701675,9
14,420,30,0.171234778853,0.104925610574,0.236646725654,0.487192884919,0.260945835025,0.159896846016,0.36062754217,0.742436525015,0.916140878996,0.19193686997,0.764006568068,0.601606805902,0.424763732773,0.440734046605,0.31443074818,0.312975472428,0.250256999423,0.165006289104,0.845988631709,168.478390753,0.113580066151,0.00467494696387,6.88035806233,0.574790649258,0.634633403676,2.69964780111,9
15,450,30,0.187896012244,0.0964124557852,0.15870437762,0.556987154351,0.289722721485,0.148661372541,0.244711229612,0.858835864919,0.891996897676,0.153649967676,0.739324159922,0.64359701509,0.417688773111,0.459609576424,0.282373830295,0.391301113688,0.189866130522,0.229690282355,0.961457635764,158.759273331,0.132713551824,0.00530347143334,6.88937222101,0.572302961389,0.600007072344,2.68808471969,9
16,480,30,0.105261301685,0.0694069223603,0.16143863437,0.663893141584,0.197918631046,0.130503070347,0.303546631108,1.24829181893,0.820768491152,0.175866384955,0.821078971987,0.635114168898,0.544476541438,0.483820371171,0.377564328268,0.368899252904,0.243849795245,0.283516544941,0.772637830256,121.101323996,0.128305007482,0.00683216627388,6.87419779951,0.573780333785,0.516875607788,2.70327545158,9
17,510,30,0.123316609853,0.0736840678376,0.166460674504,0.636538647805,0.236150772312,0.141104669903,0.318771468746,1.2189687461,0.841217753825,0.16215234181,0.814329673221,0.659646514391,0.503871073498,0.508779657512,0.363377387363,0.357962691782,0.255270964145,0.262588029563,0.849026828725,126.306751516,0.126557173155,0.0064310813802,6.888868919,0.57328666828,0.54009509213,2.70433293393,9
18,540,30,0.130615352356,0.0846819764093,0.167132606097,0.617570065138,0.227771309363,0.147671191008,0.291451286863,1.07693881173,0.871820012144,0.175902669074,0.822222205693,0.632472733657,0.443320290676,0.494125845104,0.327611290051,0.351985819557,0.254614369802,0.200023307446,0.887846346202,132.890164238,0.114081613446,0.00577734830534,6.88502791988,0.573780333785,0.558272128723,2.70356730554,9
19,570,30,0.150379738686,0.0751530493658,0.180956201508,0.593511010441,0.270690836458,0.135279140481,0.325729955221,1.06834865699,0.890186317054,0.16967349452,0.809965743619,0.654469221851,0.435086305328,0.494972850526,0.323052155965,0.377292323162,0.246781156328,0.237017459019,0.95175885812,142.347238879,0.110626370346,0.00534744760407,6.8788994112,0.574770922689,0.568974493861,2.6935494426,9
20,600,30,0.143514471425,0.0851085809644,0.203539151962,0.567837795648,0.256995187592,0.152406203454,0.364482982249,1.01684226939,0.89809909278,0.177613073153,0.801053649621,0.647781623161,0.466178347578,0.472365742265,0.33208203485,0.342417145189,0.277901415586,0.208808455145,0.855838862781,148.079895324,0.109890762941,0.00515248243964,6.88430662403,0.574476442802,0.585960421318,2.69821075166,9
21,630,30,0.19397692614,0.0921267223205,0.208348524151,0.505547827388,0.339335771258,0.161162943419,0.364476891865,0.884385918099,0.912729387039,0.18275729435,0.728563213863,0.603500642141,0.428624146638,0.444837979356,0.294799599999,0.324188845115,0.226659484692,0.202611913705,0.957925061761,174.784345368,0.130505335124,0.00476882716125,6.88312882336,0.572138835839,0.623686715888,2.69258550215,0
22,660,30,0.167016619622,0.0995268516711,0.222049650064,0.511406878643,0.245181888803,0.146106306873,0.325970868852,0.750749863914,0.916814872012,0.165823364165,0.75851525974,0.620760127256,0.429389282198,0.462247395773,0.341370278965,0.362697188199,0.258020669969,0.20061261957,0.869190988105,170.525062617,0.120706339542,0.00465530805221,6.87547913431,0.573646686586,0.622304144633,2.69093278819,0
23,690,30,0.21732836873,0.107488804979,0.213413506278,0.461769320014,0.232490538431,0.114987888102,0.228302550987,0.493985200682,0.93757618887,0.155196716973,0.755655448233,0.593524889415,0.408859492773,0.48809644803,0.367616924529,0.378183962879,0.271990698917,0.150888209292,0.834776317247,191.84232513,0.113370977176,0.00403253793997,6.89438680188,0.573684815638,0.649991906265,2.69700382897,0
24,720,30,0.217868889963,0.129366400536,0.183046390235,0.469718319266,0.225453938097,0.133870257765,0.189419102195,0.48607143908,0.936827512685,0.162627553629,0.742589268493,0.560962931852,0.409565348577,0.488363678156,0.358732608355,0.371125912515,0.236505154383,0.174743798747,0.751918510582,194.856095406,0.126238661696,0.00405644433069,6.87363121857,0.572449550779,0.654540495406,2.69831752664,0
25,750,30,0.228437777292,0.148935805525,0.16749596455,0.455130452632,0.222349232611,0.144966224323,0.163031700031,0.442999875416,0.934529548242,0.197622926591,0.709019542937,0.584713570759,0.395996988755,0.464743548516,0.319219363232,0.340434563317,0.214305923114,0.184452843278,0.822220640303,201.709479655,0.130828736997,0.00413130055661,6.87069534654,0.572578361582,0.663767428733,2.69717192156,1
