window_index,epoch_start_in_seconds,epoch_length_in_seconds,machine_bin_power_ratios_1,machine_bin_power_ratios_2,machine_bin_power_ratios_3,machine_bin_power_ratios_4,machine_bin_powers_1,machine_bin_powers_2,machine_bin_powers_3,machine_bin_powers_4,machine_burg_reflection_coefficients_1,machine_burg_reflection_coefficients_10,machine_burg_reflection_coefficients_2,machine_burg_reflection_coefficients_3,machine_burg_reflection_coefficients_4,machine_burg_reflection_coefficients_5,machine_burg_reflection_coefficients_6,machine_burg_reflection_coefficients_7,machine_burg_reflection_coefficients_8,machine_burg_reflection_coefficients_9,machine_detrended_fluctuation_analysis,machine_hjorth_complexity,machine_hjorth_fractal_dimension,machine_hjorth_mobility,machine_permutation_entropy,machine_petrosian_fractal_dimension,machine_spectral_entropy,machine_svd_entropy,sleep_stage
0,0,30,0.310076284881,0.110374514125,0.269790200535,0.309759000459,0.221841727414,0.078966609412,0.193019353767,0.22161472868,0.985079846627,0.0516495722426,0.805833108189,0.50275914514,0.118493853124,0.0371032888956,0.0570606348675,0.0174241220928,0.00485572873928,0.0133435044011,1.18579139072,329.094608723,0.0935763357554,0.00197241960139,6.47515811762,0.577697955691,0.6923396376,2.56190385778,9
1,30,30,0.439749638543,0.0907629005283,0.208276383756,0.261211077173,0.465919728808,0.0961643223633,0.220671190449,0.276756098405,0.995045288521,0.125740899404,0.830773790742,0.659795004087,0.445900255586,0.435666714972,0.278719595868,0.328553144798,0.204516559816,0.267886906503,1.29562242908,519.068425586,0.079804889177,0.00113567191332,6.57466240269,0.579537333839,0.653414463925,2.40771829436,9
2,60,30,0.257071084705,0.123559017372,0.275966035831,0.343403862092,0.363139338249,0.174539815921,0.389830399423,0.485093262727,0.973599163817,0.171039351258,0.840002202886,0.640196137678,0.476383408788,0.434957965146,0.323542625264,0.286121530518,0.244765916726,0.217631481309,1.04639962132,234.140547664,0.0705604703199,0.00265427190787,6.83658350209,0.582941001775,0.69456568623,2.66971175295,9
3,90,30,0.523348359774,0.0907664320326,0.156190228803,0.22969497939,1.21507034405,0.210734585746,0.362630571977,0.533288301035,0.995771676246,0.187191026815,0.793907331716,0.645977069823,0.472402433113,0.431174015404,0.301693223852,0.297754782561,0.245598456093,0.238010127195,1.21159469169,618.367457068,0.0767931142628,0.00105028636518,6.53803595184,0.580957207818,0.610735038426,2.34612876376,9
4,120,30,0.252771804051,0.101562356056,0.187632679777,0.458033160116,0.564773451391,0.226922945684,0.419231711974,1.02339329207,0.935973455205,0.162128961804,0.679380649347,0.743304157322,0.374064144964,0.474694564836,0.314094885615,0.325046151428,0.228920201965,0.24778207824,1.14713398899,212.060170677,0.11546213976,0.00408206706944,6.78548488985,0.576078508131,0.644791225445,2.61453199999,9
5,150,30,0.311267387783,0.109481609081,0.23542932712,0.343821676016,0.494893329202,0.174068084647,0.374316128393,0.546652365696,0.979880871498,0.14867184091,0.746312792109,0.616115941167,0.441155184735,0.403061544282,0.28520557265,0.306711265078,0.196744892592,0.241710846271,1.08630919579,318.576269092,0.103991344933,0.00239053912074,6.82585005592,0.575873917812,0.682370360649,2.59144546911,9
6,180,30,0.331016334427,0.116757943805,0.227792368985,0.324433352783,0.508290616819,0.179287126051,0.349785529282,0.498182149495,0.986788935409,0.192917740158,0.802709465015,0.641126005974,0.441353080093,0.443437639712,0.285526295414,0.2990186638,0.227479096811,0.248125288071,1.15647517679,349.274779916,0.0794356071283,0.00185822555977,6.82913761523,0.580578889476,0.687949840638,2.54497049847,9
7,210,30,0.278264225313,0.119742365874,0.272954927378,0.329038481435,0.40779657296,0.175482588129,0.400015790142,0.482206309308,0.97532039933,0.169687459319,0.841800093494,0.631392279471,0.474835894821,0.422063477529,0.310880142196,0.295443729134,0.238645670908,0.222884462975,0.995899423578,237.916876289,0.0689656186727,0.00253778525157,6.8536268379,0.582840232077,0.695748241077,2.6597869633,9
8,240,30,0.287347645248,0.117632073545,0.262913084439,0.332107196768,0.451899973575,0.184995185468,0.413472731986,0.522291502733,0.976892376433,0.167963379133,0.835767125889,0.622968482287,0.448371349261,0.433988684899,0.314088550483,0.284936041054,0.236682765051,0.25313383516,1.04777699702,248.427530774,0.0718142265862,0.00245330165525,6.84944859292,0.58246501595,0.693452881166,2.65686483216,9
9,270,30,0.313176687667,0.117926427007,0.237255061076,0.33164182425,0.496297761138,0.186880518275,0.375983143917,0.525559856008,0.982362552951,0.153567932968,0.805741835844,0.623812282401,0.461417838522,0.426924990867,0.283996659368,0.323737150932,0.234748987459,0.253356784047,1.12996250868,302.61789284,0.0805324985066,0.00214317041056,6.84176301916,0.580696653828,0.690332977692,2.60271434094,9
