window_index,epoch_start_in_seconds,epoch_length_in_seconds,machine_bin_power_ratios_1,machine_bin_power_ratios_2,machine_bin_power_ratios_3,machine_bin_power_ratios_4,machine_bin_powers_1,machine_bin_powers_2,machine_bin_powers_3,machine_bin_powers_4,machine_burg_reflection_coefficients_1,machine_burg_reflection_coefficients_10,machine_burg_reflection_coefficients_2,machine_burg_reflection_coefficients_3,machine_burg_reflection_coefficients_4,machine_burg_reflection_coefficients_5,machine_burg_reflection_coefficients_6,machine_burg_reflection_coefficients_7,machine_burg_reflection_coefficients_8,machine_burg_reflection_coefficients_9,machine_detrended_fluctuation_analysis,machine_hjorth_complexity,machine_hjorth_fractal_dimension,machine_hjorth_mobility,machine_permutation_entropy,machine_petrosian_fractal_dimension,machine_spectral_entropy,machine_svd_entropy,sleep_stage
0,0,30,0.474741362741,0.120819308932,0.150943928784,0.253495399544,0.49719171228,0.126532810913,0.158082013282,0.265483106478,0.995638617666,0.00151837584964,0.581244404927,0.349734003489,0.0258450412,0.0289641733682,0.00189549956972,0.0141742156259,0.0346991553275,0.0186485659539,1.40518427478,873.290066039,0.137498349222,0.00107010711604,6.31561300334,0.574417863734,0.645197588947,2.29654124644,9
1,30,30,0.290988847943,0.106466213521,0.275170994521,0.327373944015,0.310907187659,0.113753881843,0.29400659385,0.349782862698,0.995328396283,0.0964852645172,0.846698193705,0.696344245139,0.48725064179,0.480636134147,0.273198228048,0.349946912072,0.213592833614,0.249015332464,1.45506505775,509.043146773,0.0699484314673,0.00110296960417,6.73793156067,0.577418900377,0.687273994487,2.29097664331,9
2,60,30,0.217338068834,0.0955696829233,0.308455540575,0.378636707668,0.325284437083,0.143036747675,0.461657671937,0.566696064677,0.969935360494,0.180351238813,0.888406538035,0.64355233509,0.530148330172,0.447568820508,0.331429297983,0.299263958537,0.232507049334,0.23425718103,0.93566383599,189.229970303,0.0523879500369,0.0028002662834,6.8141430255,0.588763561424,0.662853354634,2.66604673691,9
3,90,30,0.437414036303,0.0880153669216,0.161569153333,0.313001443443,0.648362431765,0.130461879578,0.239487900385,0.463950308343,0.99502335553,0.173003995376,0.800139942686,0.706613653503,0.480752413023,0.483937061486,0.272783936439,0.34721452133,0.20410308242,0.234435532151,1.46410340068,561.742418309,0.0792012119711,0.00113858674655,6.58276525291,0.580696653828,0.627642590522,2.32907136228,9
4,120,30,0.479574687264,0.0797186166446,0.137577635304,0.303129060788,0.829316172444,0.137855353471,0.237909466354,0.524193288606,0.995731390749,0.192756898192,0.734379445353,0.664028212181,0.457969036948,0.480553043928,0.29684374096,0.310596195594,0.200413971472,0.281976737696,1.46718557641,696.347186652,0.0974919721565,0.00105450634453,6.51041608961,0.578022898933,0.596511902661,2.26126048151,9
5,150,30,0.287814029666,0.0901130180811,0.208709634508,0.413363317745,0.412900969529,0.129277063304,0.299416989986,0.59301527053,0.975628289272,0.169900837675,0.797212073561,0.693261105992,0.474340629741,0.461441063345,0.292848505941,0.36447495563,0.196072845702,0.258558353842,1.15144650565,266.068679538,0.0860143092948,0.00251924857697,6.83206348077,0.579743053554,0.650899342882,2.59507485626,9
6,180,30,0.371380898052,0.0786404831704,0.186794597292,0.363184021485,0.527221325949,0.111639936324,0.26517813862,0.515584841265,0.985440262899,0.165269530392,0.805188034877,0.720094088448,0.49238736774,0.487946795977,0.286975254566,0.344459707605,0.212031071205,0.257803761922,1.11688675472,330.592820256,0.0850200873374,0.00195350239996,6.81146764128,0.57931023998,0.635672410611,2.53517121591,9
7,210,30,0.29275051147,0.089798386588,0.190494935153,0.426956166789,0.37892940066,0.116232926935,0.246572179306,0.552642055437,0.971152939754,0.183848567854,0.811649282186,0.70958869568,0.496446872838,0.487208023037,0.278014916398,0.354252642252,0.209282011712,0.250311938895,1.0589662891,238.961807124,0.0817185360957,0.00274082655432,6.84657247043,0.579950053681,0.643385116604,2.62357929931,9
8,240,30,0.278993124718,0.0740162882398,0.241234993047,0.405755593995,0.406906665513,0.10795148114,0.351837081022,0.591787542911,0.977718924796,0.146476031852,0.828582367242,0.726310577455,0.527336025995,0.486414351138,0.307607637922,0.363311194231,0.220587586904,0.276691463165,1.23734178471,257.303935088,0.070915451299,0.00240916824737,6.83905934732,0.58236566273,0.643359153417,2.60091111766,9
9,270,30,0.271815931897,0.0986177403156,0.207155415255,0.422410912532,0.453956634892,0.16470034417,0.345967856087,0.705463565201,0.954140555968,0.21548288285,0.767346147059,0.678493217548,0.49449729288,0.434988581343,0.322207627108,0.331137586081,0.220458289633,0.258094670252,0.963428190472,213.890102411,0.095807380217,0.00346030449017,6.84181247027,0.578373060485,0.65544946416,2.67565500155,9
10,300,30,0.283050045492,0.0887834730698,0.223321336903,0.404845144535,0.526088688767,0.165016687598,0.415074405309,0.752462169268,0.963829723239,0.162843575715,0.722467634192,0.631576722666,0.469397123723,0.419011011518,0.304965039011,0.344545534602,0.234410267505,0.235132762718,1.09195225248,255.978915085,0.110570185068,0.00306955601218,6.83104438583,0.576284380126,0.65428469513,2.62420686728,9
11,330,30,0.256098727105,0.0779385650924,0.194405953869,0.471556753933,0.512964694187,0.156110624445,0.38939432383,0.94452623333,0.929949125034,0.163718318626,0.703529466998,0.691173730171,0.473156599188,0.47051898378,0.305159507607,0.329230945802,0.228194908003,0.251871199406,1.0311329413,197.592078348,0.127453835182,0.00427111427848,6.85514907811,0.575167730397,0.624788950577,2.6582548245,9
12,360,30,0.329801598963,0.0749484329074,0.184954435128,0.410295533001,0.837221672165,0.190261213172,0.469518225319,1.04156048152,0.977109862335,0.179041449099,0.65178591813,0.727688271894,0.416061279421,0.464312046384,0.281472259959,0.372470623912,0.194024336974,0.254108653266,1.47028085987,351.116137362,0.134473177018,0.00244204775554,6.84546974976,0.574242753922,0.629132353444,2.43552572111,0
13,390,30,0.225931066077,0.0888443987041,0.306396242226,0.378828292994,0.395766613078,0.155629977659,0.536718589219,0.66359882711,0.960751874387,0.17982305104,0.779876911247,0.571530370116,0.542498489031,0.38088043317,0.323942059031,0.278570380589,0.281184428272,0.233271760066,0.99062490688,223.405121377,0.0801224740799,0.00319703569437,6.75965823608,0.586113284113,0.65901415755,2.66135645047,0
14,420,30,0.278882741097,0.0659159815158,0.189182286762,0.466018990626,0.632333900309,0.149456755627,0.42894864267,1.05664339357,0.94917802946,0.203467257629,0.66835598425,0.719587291283,0.445365222505,0.506105816719,0.260138124843,0.346130802978,0.234646695336,0.271233605682,1.28842730436,237.748898784,0.127531246933,0.0036380496982,6.86128953717,0.577184605414,0.61341250167,2.56557816326,0
15,450,30,0.194033934855,0.0885035003901,0.302845026982,0.414617537773,0.317408429966,0.144777546908,0.495405943343,0.678247863186,0.945757993583,0.184636496381,0.773009412709,0.586145017438,0.52566918179,0.390846464057,0.417813859049,0.239660694828,0.177242305311,0.226114594101,0.883755008105,198.025757291,0.0842087709365,0.00378381339779,6.81549879114,0.58342382652,0.645256940541,2.68560442122,0
16,480,30,0.174831334001,0.100028114632,0.36795724406,0.357183307307,0.258189423344,0.147720666793,0.543396120621,0.52748526269,0.964540645458,0.212572014241,0.91646634739,0.634323721812,0.550885282486,0.405526941198,0.363858088063,0.2651809416,0.271708554127,0.201408091186,0.691461346991,159.564284951,0.0452867671684,0.00303880145213,6.70188480174,0.589520738724,0.651426434918,2.67071848387,0
17,510,30,0.167167303978,0.106233873736,0.368710073986,0.3578887483,0.267152035576,0.16977360369,0.589239907917,0.57194622,0.965767308427,0.206342011017,0.925807883313,0.661059840768,0.556605776207,0.403704972173,0.368732932982,0.255147494137,0.28834237511,0.20597274585,0.636604988273,155.166150844,0.0407177825746,0.0029862668469,6.73360875984,0.5939942231,0.652883695953,2.67178979777,0
18,540,30,0.179342968722,0.105544539907,0.346686776069,0.368425715302,0.275431218569,0.162093119386,0.532434373509,0.56582058634,0.964805997779,0.20143370062,0.927597758295,0.669717660836,0.542168251754,0.41708646818,0.362635732248,0.284289849479,0.264229174304,0.176299743853,0.64964663166,152.401838982,0.0410459764024,0.00302906119107,6.80718750835,0.592326976168,0.658431308943,2.68759605869,0
19,570,30,0.204592142895,0.087192810057,0.293148028756,0.415067018292,0.281964188382,0.120167126521,0.404009874643,0.572035823471,0.953098916417,0.147795218542,0.796444339102,0.542501478661,0.500223992565,0.421698799703,0.356423868014,0.298377193471,0.290108327089,0.283657172536,0.952877172444,200.711930699,0.0680279386548,0.0034962105524,6.86758565074,0.58808144285,0.647097599821,2.69256473265,0
20,600,30,0.193798367511,0.0818400631116,0.311580682033,0.412780887345,0.279074754914,0.117851846991,0.448684390848,0.594415352659,0.952608773993,0.16523573214,0.795946520627,0.605385592001,0.571984369937,0.389832403689,0.303268871367,0.308629908215,0.267098287028,0.17649531874,0.961781716457,199.816620527,0.0739954990179,0.00351795689511,6.8535338306,0.585892287869,0.63925018508,2.68690592934,0
21,630,30,0.166709671985,0.0876422026237,0.343434339818,0.402213785573,0.230968180276,0.121424029058,0.475811652483,0.557247729119,0.958599024711,0.230890240577,0.912163087465,0.644596523913,0.519578987562,0.407130662506,0.36533889212,0.25363476781,0.288275998006,0.202565664836,0.63901312315,153.74645075,0.0473034625834,0.00328355383483,6.78897233777,0.591441444451,0.634117544379,2.68288711048,0
22,660,30,0.167213648945,0.101338388454,0.357122217387,0.374325745213,0.254424910333,0.154192020558,0.543381408813,0.569557537689,0.965029345582,0.203332585065,0.925988607209,0.659243108367,0.543049888225,0.420366767197,0.357693173788,0.268098808915,0.271448854964,0.215747709675,0.60776812218,153.809037919,0.0426892660573,0.00301800036028,6.78136760382,0.592161269369,0.64832718875,2.67935460804,0
23,690,30,0.17748195146,0.100417190137,0.350603943913,0.371496914489,0.258099019662,0.146029374358,0.509857669858,0.540240788701,0.964600318795,0.188244027059,0.9125681965,0.621707108556,0.546995688061,0.414658323243,0.338200451859,0.294270341896,0.280198332899,0.224276520482,0.629787986702,162.642502332,0.0478392842786,0.00304014527505,6.81315195453,0.589890206284,0.65290210247,2.68834211522,0
24,720,30,0.20641850165,0.0794852222674,0.32257299671,0.391523279373,0.325910799645,0.125497918753,0.509305234083,0.61816970882,0.96429114963,0.228036317949,0.856421657409,0.573156420685,0.499780807028,0.417497556572,0.31730646547,0.286383929428,0.244205891488,0.309933013337,0.93526361298,195.064208418,0.0567297924221,0.00305098636663,6.80626030283,0.589185518651,0.643395815371,2.67674668711,0
25,750,30,0.162245798292,0.0929649070714,0.356331513737,0.3884577809,0.2317006663,0.132761717948,0.508871416246,0.554750431824,0.962446421271,0.206689866213,0.926129375029,0.66814818823,0.536766176782,0.405430954599,0.366474969712,0.265956111213,0.271938237404,0.191626551621,0.652961603719,150.053477527,0.0391573521667,0.00312719136146,6.74818929648,0.594556412231,0.637386020452,2.68323447594,0
26,780,30,0.161366059456,0.106972903069,0.355206410319,0.376454627155,0.216501966358,0.143523637744,0.476574110791,0.505082464667,0.964196890214,0.201331583975,0.927468445513,0.675964636748,0.538455620336,0.390158556464,0.361987332972,0.269074060662,0.29354100682,0.199397179406,0.644164289914,151.871154935,0.0405090189441,0.00305350033381,6.75695837672,0.593716495596,0.650011186874,2.67990493301,0
27,810,30,0.180083045118,0.105939596221,0.340380170584,0.373597188077,0.256555587365,0.150927008792,0.484923133849,0.532245808939,0.964946035036,0.193575408614,0.924757957077,0.70417431759,0.533872328661,0.420978406389,0.349715973768,0.268421711217,0.276930347196,0.212210959858,0.699471100931,155.963954358,0.0409602111633,0.00303082670822,6.80001572657,0.594064002609,0.658857494151,2.6901801364,0
28,840,30,0.181561822196,0.0939163790994,0.330390904841,0.394130893863,0.247151225295,0.127843771829,0.449744973751,0.536511102206,0.963673200142,0.204311927327,0.927869473672,0.706331428125,0.51603544657,0.414786013724,0.361714146467,0.266679488222,0.273868775271,0.209004594909,0.698154355924,150.714741976,0.0419987188537,0.00307780017307,6.85169239253,0.594274183918,0.647639806865,2.69582353867,0
29,870,30,0.158229796495,0.096168012982,0.373251247427,0.372350943096,0.23979411601,0.145740714911,0.565654857105,0.56429046376,0.964424893438,0.192204028677,0.944212059767,0.709522752849,0.578776219896,0.406927726077,0.391918490877,0.280507633984,0.279059819971,0.194391404887,0.607278908941,140.099123776,0.0323600174909,0.00304700401688,6.73031973191,0.598330261292,0.638221178496,2.66993984073,0
